4.84	0	4.84	0	121	Emmanuel Macron
9.6	4.88	14.48	122	362	Ursula Von der Leyen
4.08	14.52	18.6	363	465	Kim Jong Un
29.12	18.64	47.76	466	1194	Francesca Archibugi
19.52	47.8	67.32	1195	1683	Carlo Conti
5.6	67.36	72.96	1684	1824	Ursula Von der Leyen
3.4	73	76.4	1825	1910	Donald Trump
14.2	76.44	90.64	1911	2266	Paola Egonu
67.72	90.68	158.4	2267	3960	Luca Zingaretti
21.44	158.44	179.88	3961	4497	Carlo Conti
90.64	179.92	270.56	4498	6764	Lady Gaga
13.4	270.6	284	6765	7100	Maria Soave
3.8	284.04	287.84	7101	7196	Donald Trump
7.88	287.88	295.76	7197	7394	Angela Merkel
26.36	295.8	322.16	7395	8054	Giovanni Floris
12.56	322.2	334.76	8055	8369	Gina Lollobrigida
15.56	334.8	350.36	8370	8759	Carlo Conti
10.92	350.4	361.32	8760	9033	Angela Merkel
30.84	361.36	392.2	9034	9805	Massimo Recalcati
20.44	392.24	412.68	9806	10317	Giorgio Nardone
19.52	412.72	432.24	10318	10806	Giorgio Nardone
18.92	432.28	451.2	10807	11280	Flavio Insinna
15.24	451.24	466.48	11281	11662	Giuseppe Conte
13	466.52	479.52	11663	11988	Angela Merkel
3.84	479.56	483.4	11989	12085	Naomi Campbell
4.08	483.44	487.52	12086	12188	Giuseppe Conte
25.48	487.56	513.04	12189	12826	Ursula Von der Leyen
20.52	513.08	533.6	12827	13340	Mara Venier
7.44	533.64	541.08	13341	13527	Kim Jong Un
30.2	541.12	571.32	13528	14283	Francesca Archibugi
26.12	571.36	597.48	14284	14937	David Sassoli
39.04	597.52	636.56	14938	15914	Massimo Recalcati
16.64	636.6	653.24	15915	16331	Emmanuel Macron
6	653.28	659.28	16332	16482	Giuseppe Conte
14	659.32	673.32	16483	16833	Kim Jong Un
31.32	673.36	704.68	16834	17617	Gina Lollobrigida
4	704.72	708.72	17618	17718	Kim Jong Un
10.56	708.76	719.32	17719	17983	Flavio Insinna
